condition,arm,phase,threshold,n_crossed,n_seeds,n_never,n_pending,n_absent,median,vmin,vmax
dreamer_local,human,picked,0.5,4,4,0,0,0,210727.5,150752,222239
dreamer_local,human,placed_v2,0.5,4,4,0,0,0,228709.0,223530,278482
dreamer_local,human,farside,0.5,4,4,0,0,0,254894.0,223840,340131
dreamer_local,human,slide_event,0.5,4,4,0,0,0,341294.5,259907,361119
dreamer_local,human,home,0.5,4,4,0,0,0,350018.0,322681,361119
dreamer_local,human,home,0.1,4,4,0,0,0,214197.0,183163,233944
dreamer_local,human,tipped,0.5,4,4,0,0,0,170369.0,141807,224145
dreamer_local,machine,picked,0.5,4,4,0,0,0,181113.5,154166,200941
dreamer_local,machine,placed_v2,0.5,4,4,0,0,0,287269.0,210411,348894
dreamer_local,machine,farside,0.5,4,4,0,0,0,314306.0,291360,348894
dreamer_local,machine,slide_event,0.5,4,4,0,0,0,318794.5,295996,504786
dreamer_local,machine,home,0.5,4,4,0,0,0,319950.0,295996,504786
dreamer_local,machine,home,0.1,4,4,0,0,0,279606.0,204896,341718
dreamer_local,machine,tipped,0.5,4,4,0,0,0,202651.5,161037,215768
dreamer_cluster,human,picked,0.5,12,12,0,0,0,192120.0,147519,236278
dreamer_cluster,human,placed_v2,0.5,12,12,0,0,0,268152.5,222316,340216
dreamer_cluster,human,farside,0.5,12,12,0,0,0,268447.0,222483,340589
dreamer_cluster,human,slide_event,0.5,12,12,0,0,0,388656.5,249327,558676
dreamer_cluster,human,home,0.5,12,12,0,0,0,442625.0,257484,778042
dreamer_cluster,human,home,0.1,12,12,0,0,0,231723.5,205610,340216
dreamer_cluster,human,tipped,0.5,12,12,0,0,0,173447.5,119173,230293
dreamer_cluster,machine,picked,0.5,12,12,0,0,0,212508.0,125910,320952
dreamer_cluster,machine,placed_v2,0.5,12,12,0,0,0,279224.0,225015,404997
dreamer_cluster,machine,farside,0.5,12,12,0,0,0,289721.5,257331,405064
dreamer_cluster,machine,slide_event,0.5,12,12,0,0,0,337021.0,277315,433807
dreamer_cluster,machine,home,0.5,12,12,0,0,0,337021.0,292352,439756
dreamer_cluster,machine,home,0.1,12,12,0,0,0,246161.0,162892,333401
dreamer_cluster,machine,tipped,0.5,12,12,0,0,0,169936.0,106609,441279
dreamer_cluster,planner72,picked,0.5,7,8,0,1,0,866287.0,392487,909948
dreamer_cluster,planner72,placed_v2,0.5,7,8,0,1,0,1065844.0,894039,1399458
dreamer_cluster,planner72,farside,0.5,7,8,0,1,0,1370180.0,946304,1506948
dreamer_cluster,planner72,slide_event,0.5,4,8,2,2,0,1832415.5,1365471,1946085
dreamer_cluster,planner72,home,0.5,2,8,4,2,0,1708578.0,1550669,1866487
dreamer_cluster,planner72,home,0.1,3,8,3,2,0,1672012.0,1353575,1790517
dreamer_cluster,planner72,tipped,0.5,8,8,0,0,0,467130.5,254301,1087599
dreamer_cluster,r2teacher,picked,0.5,2,3,0,1,0,227523.0,197178,257868
dreamer_cluster,r2teacher,placed_v2,0.5,2,3,0,1,0,236806.5,203297,270316
dreamer_cluster,r2teacher,farside,0.5,2,3,0,1,0,236806.5,203297,270316
dreamer_cluster,r2teacher,slide_event,0.5,2,3,0,1,0,281690.0,259697,303683
dreamer_cluster,r2teacher,home,0.5,2,3,0,1,0,307993.0,307608,308378
dreamer_cluster,r2teacher,home,0.1,2,3,0,1,0,207085.0,188812,225358
dreamer_cluster,r2teacher,tipped,0.5,3,3,0,0,0,49576.0,36921,172599
r2dreamer_cluster,human,picked,0.5,16,16,0,0,0,131147.5,90041,189198
r2dreamer_cluster,human,placed_v2,0.5,16,16,0,0,0,216868.0,186119,276755
r2dreamer_cluster,human,farside,0.5,16,16,0,0,0,219022.5,189620,276755
r2dreamer_cluster,human,slide_event,0.5,16,16,0,0,0,252466.5,219969,314780
r2dreamer_cluster,human,home,0.5,16,16,0,0,0,264218.0,221832,371632
r2dreamer_cluster,human,home,0.1,16,16,0,0,0,195099.0,156660,243521
r2dreamer_cluster,human,tipped,0.5,16,16,0,0,0,118714.0,88519,189620
r2dreamer_cluster,machine,picked,0.5,16,16,0,0,0,155815.5,130945,246319
r2dreamer_cluster,machine,placed_v2,0.5,16,16,0,0,0,204424.0,140020,320709
r2dreamer_cluster,machine,farside,0.5,16,16,0,0,0,230453.0,140020,320709
r2dreamer_cluster,machine,slide_event,0.5,16,16,0,0,0,254738.5,142420,326936
r2dreamer_cluster,machine,home,0.5,16,16,0,0,0,258160.5,184007,334281
r2dreamer_cluster,machine,home,0.1,16,16,0,0,0,171204.5,135486,235210
r2dreamer_cluster,machine,tipped,0.5,16,16,0,0,0,146023.5,128984,223417
r2dreamer_cluster,planner72,picked,0.5,8,8,0,0,0,287473.0,192357,389467
r2dreamer_cluster,planner72,placed_v2,0.5,8,8,0,0,0,401209.0,294743,536889
r2dreamer_cluster,planner72,farside,0.5,8,8,0,0,0,421713.0,393219,679672
r2dreamer_cluster,planner72,slide_event,0.5,7,8,0,1,0,566196.0,416299,915647
r2dreamer_cluster,planner72,home,0.5,7,8,0,1,0,574493.0,453373,916356
r2dreamer_cluster,planner72,home,0.1,8,8,0,0,0,449190.5,285031,769517
r2dreamer_cluster,planner72,tipped,0.5,8,8,0,0,0,284004.0,129839,408503
r2dreamer_cluster,r2teacher,picked,0.5,3,4,0,1,0,240929.0,148774,243588
r2dreamer_cluster,r2teacher,placed_v2,0.5,3,4,0,1,0,264441.0,189618,276072
r2dreamer_cluster,r2teacher,farside,0.5,3,4,0,1,0,277244.0,197702,286548
r2dreamer_cluster,r2teacher,slide_event,0.5,3,4,0,1,0,312178.0,210219,318992
r2dreamer_cluster,r2teacher,home,0.5,3,4,0,1,0,337749.0,250973,346406
r2dreamer_cluster,r2teacher,home,0.1,3,4,0,1,0,280199.0,199136,288332
r2dreamer_cluster,r2teacher,tipped,0.5,4,4,0,0,0,59482.0,31369,152919
rlpd_cluster,human,picked,0.5,9,9,0,0,0,52568.0,46312,59556
rlpd_cluster,human,placed_v2,0.5,9,9,0,0,0,86012.0,71104,97504
rlpd_cluster,human,farside,0.5,0,0,0,0,9,,,
rlpd_cluster,human,slide_event,0.5,0,0,0,0,9,,,
rlpd_cluster,human,home,0.5,0,0,0,0,9,,,
rlpd_cluster,human,home,0.1,0,0,0,0,9,,,
rlpd_cluster,human,tipped,0.5,9,9,0,0,0,45656.0,39332,51404
rlpd_cluster,machine,picked,0.5,8,8,0,0,0,60710.0,48820,69240
rlpd_cluster,machine,placed_v2,0.5,8,8,0,0,0,90250.0,72972,118980
rlpd_cluster,machine,farside,0.5,0,0,0,0,8,,,
rlpd_cluster,machine,slide_event,0.5,0,0,0,0,8,,,
rlpd_cluster,machine,home,0.5,0,0,0,0,8,,,
rlpd_cluster,machine,home,0.1,0,0,0,0,8,,,
rlpd_cluster,machine,tipped,0.5,8,8,0,0,0,50050.0,37992,56076
rlpd_cluster,planner72,picked,0.5,4,8,0,4,0,196530.0,56036,279760
