condition,arm,seed,run,phase,threshold,rise_step,first_event_step,budget,achieved,note
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,picked,0.5,220552,125015,1000000,996156,stopped_at_1M_by_chain
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,picked,0.5,222239,167059,1000000,992053,
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,picked,0.5,150752,138716,1000000,992788,
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,picked,0.5,200903,91792,1000000,999690,
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,placed_v2,0.5,223530,133755,1000000,996156,stopped_at_1M_by_chain
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,placed_v2,0.5,278482,167059,1000000,992053,
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,placed_v2,0.5,231306,138716,1000000,992788,
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,placed_v2,0.5,226112,196164,1000000,999690,
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,farside,0.5,223840,133755,1000000,996156,stopped_at_1M_by_chain
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,farside,0.5,278482,167059,1000000,992053,
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,farside,0.5,231306,138716,1000000,992788,
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,farside,0.5,340131,199978,1000000,999690,
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,slide_event,0.5,259907,181429,1000000,996156,stopped_at_1M_by_chain
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,slide_event,0.5,346932,214684,1000000,992053,
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,slide_event,0.5,335657,138716,1000000,992788,
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,slide_event,0.5,361119,211585,1000000,999690,
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,home,0.5,322681,181500,1000000,996156,stopped_at_1M_by_chain
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,home,0.5,347052,214684,1000000,992053,
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,home,0.5,352984,151491,1000000,992788,
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,home,0.5,361119,211585,1000000,999690,
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,home,0.1,183163,181500,1000000,996156,stopped_at_1M_by_chain
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,home,0.1,233944,214684,1000000,992053,
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,home,0.1,209228,151491,1000000,992788,
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,home,0.1,219166,211585,1000000,999690,
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,tipped,0.5,141807,0,1000000,996156,stopped_at_1M_by_chain
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,tipped,0.5,224145,14424,1000000,992053,
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,tipped,0.5,150228,28829,1000000,992788,
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,tipped,0.5,190510,0,1000000,999690,
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,picked,0.5,200941,94224,1000000,992755,
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,picked,0.5,162034,117363,1000000,992769,
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,picked,0.5,154166,124146,1000000,992440,
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,picked,0.5,200193,110184,1000000,998215,
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,placed_v2,0.5,257966,183304,1000000,992755,
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,placed_v2,0.5,210411,150776,1000000,992769,
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,placed_v2,0.5,348894,146990,1000000,992440,
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,placed_v2,0.5,316572,191176,1000000,998215,
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,farside,0.5,311857,183304,1000000,992755,
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,farside,0.5,291360,162034,1000000,992769,
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,farside,0.5,348894,146990,1000000,992440,
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,farside,0.5,316755,191176,1000000,998215,
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,slide_event,0.5,311857,183304,1000000,992755,
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,slide_event,0.5,295996,198221,1000000,992769,
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,slide_event,0.5,504786,146990,1000000,992440,
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,slide_event,0.5,325732,246071,1000000,998215,
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,home,0.5,314168,228924,1000000,992755,
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,home,0.5,295996,198221,1000000,992769,
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,home,0.5,504786,192370,1000000,992440,
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,home,0.5,325732,246071,1000000,998215,
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,home,0.1,247112,228924,1000000,992755,
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,home,0.1,204896,198221,1000000,992769,
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,home,0.1,341718,192370,1000000,992440,
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,home,0.1,312100,246071,1000000,998215,
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,tipped,0.5,202013,0,1000000,992755,
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,tipped,0.5,161037,14424,1000000,992769,
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,tipped,0.5,203290,0,1000000,992440,
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,tipped,0.5,215768,0,1000000,998215,
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,picked,0.5,166346,155126,1000000,999688,
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,picked,0.5,219040,106566,1000000,992699,
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,picked,0.5,187619,85947,1000000,999507,
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,picked,0.5,180010,80840,1000000,992379,
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,picked,0.5,181177,159296,2000000,1992758,
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,picked,0.5,201081,132496,2000000,1999907,
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,picked,0.5,234973,101719,2000000,1999790,
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,picked,0.5,236278,104806,2000000,1999663,
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,picked,0.5,196621,152258,2000000,1998777,
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,picked,0.5,172073,155752,2000000,1999679,
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,picked,0.5,225485,105127,2000000,1999320,
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,picked,0.5,147519,101566,2000000,1999712,
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,placed_v2,0.5,235723,169127,1000000,999688,
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,placed_v2,0.5,340216,129656,1000000,992699,
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,placed_v2,0.5,241259,95334,1000000,999507,
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,placed_v2,0.5,242496,118977,1000000,992379,
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,placed_v2,0.5,235804,166924,2000000,1992758,
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,placed_v2,0.5,291159,165840,2000000,1999907,
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,placed_v2,0.5,318112,101719,2000000,1999790,
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,placed_v2,0.5,300330,197011,2000000,1999663,
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,placed_v2,0.5,245146,158828,2000000,1998777,
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,placed_v2,0.5,326695,155771,2000000,1999679,
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,placed_v2,0.5,306297,136411,2000000,1999320,
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,placed_v2,0.5,222316,124848,2000000,1999712,
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,farside,0.5,235723,169127,1000000,999688,
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,farside,0.5,340589,129656,1000000,992699,
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,farside,0.5,241259,95334,1000000,999507,
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,farside,0.5,243977,118977,1000000,992379,
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,farside,0.5,239066,166924,2000000,1992758,
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,farside,0.5,291748,165840,2000000,1999907,
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,farside,0.5,320240,101719,2000000,1999790,
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,farside,0.5,300330,197011,2000000,1999663,
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,farside,0.5,245146,158828,2000000,1998777,
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,farside,0.5,326766,155771,2000000,1999679,
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,farside,0.5,306297,136411,2000000,1999320,
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,farside,0.5,222483,139240,2000000,1999712,
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,slide_event,0.5,468533,221764,1000000,999688,
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,slide_event,0.5,517829,283130,1000000,992699,
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,slide_event,0.5,249327,138297,1000000,999507,
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,slide_event,0.5,292013,167544,1000000,992379,
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,slide_event,0.5,513921,216121,2000000,1992758,
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,slide_event,0.5,312855,165840,2000000,1999907,
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,slide_event,0.5,481107,267094,2000000,1999790,
