learner,a,b,n_a,n_b,mean_a,mean_b,diff,p,method,n_relabelings,interim
{DreamerV3 losses},human,machine,8,8,0.3041666666666667,0.35625,-0.052083333333333315,0.5308469308469308,exact,12870,False
{DreamerV3 losses},human,planner72,8,8,0.3041666666666667,0.03958333333333333,0.2645833333333334,0.0021756021756021756,exact,12870,False
{DreamerV3 losses},human,r2teacher,8,2,0.3041666666666667,0.475,,,not tested (n < 3),0,True
{DreamerV3 losses},machine,planner72,8,8,0.35625,0.03958333333333333,0.31666666666666665,0.0006216006216006216,exact,12870,False
{DreamerV3 losses},machine,r2teacher,8,2,0.35625,0.475,,,not tested (n < 3),0,True
{DreamerV3 losses},planner72,r2teacher,8,2,0.03958333333333333,0.475,,,not tested (n < 3),0,True
{r2dreamer},human,machine,8,8,0.5958333333333333,0.5645833333333332,0.03125000000000011,0.56006216006216,exact,12870,False
{r2dreamer},human,planner72,8,7,0.5958333333333333,0.5714285714285713,0.02440476190476204,0.528049728049728,exact,6435,True
{r2dreamer},human,r2teacher,8,4,0.5958333333333333,0.6416666666666666,-0.04583333333333328,0.20606060606060606,exact,495,True
{r2dreamer},machine,planner72,8,7,0.5645833333333332,0.5714285714285713,-0.006845238095238071,0.887956487956488,exact,6435,True
{r2dreamer},machine,r2teacher,8,4,0.5645833333333332,0.6416666666666666,-0.07708333333333339,0.18383838383838383,exact,495,True
{r2dreamer},planner72,r2teacher,7,4,0.5714285714285713,0.6416666666666666,-0.07023809523809532,0.08787878787878788,exact,330,True
{RLPD},human,machine,8,8,0.0,0.125,-0.125,0.2,exact,12870,False
{RLPD},human,planner72,8,8,0.0,0.0,0.0,1.0,exact,12870,False
{RLPD},human,r2teacher,8,1,0.0,0.03333333333333333,,,not tested (n < 3),0,True
{RLPD},machine,planner72,8,8,0.125,0.0,0.125,0.2,exact,12870,False
{RLPD},machine,r2teacher,8,1,0.125,0.03333333333333333,,,not tested (n < 3),0,True
{RLPD},planner72,r2teacher,8,1,0.0,0.03333333333333333,,,not tested (n < 3),0,True
{Diffusion Policy},human,machine,4,4,0.025,0.016666666666666666,0.008333333333333335,1.0,exact,70,True
{Diffusion Policy},human,planner72,4,3,0.025,0.5666666666666667,-0.5416666666666666,0.02857142857142857,exact,35,True
{Diffusion Policy},human,r2teacher,4,2,0.025,0.6,,,not tested (n < 3),0,True
{Diffusion Policy},machine,planner72,4,3,0.016666666666666666,0.5666666666666667,-0.5499999999999999,0.02857142857142857,exact,35,True
{Diffusion Policy},machine,r2teacher,4,2,0.016666666666666666,0.6,,,not tested (n < 3),0,True
{Diffusion Policy},planner72,r2teacher,3,2,0.5666666666666667,0.6,,,not tested (n < 3),0,True
